block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_44100,0,52,0,1,#52 JORDAN CREEK TO DART CENTRAL STATION,49942,1_merged_579286,572973,
b_43896,0,14,0,0,#14 BEAVER AVENUE TO MERLE HAY,49815,3_merged_579287,569598,
b_44014,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,3_merged_579287,572249,
a_43477,0,D-LINE,0,0,STATE CAPITOL,49765,2_merged_579277,565540,
b_43897,0,14,0,0,#14 BEAVER AVENUE TO MERLE HAY,49815,3_merged_579287,569599,
a_43454,0,16,0,1,DART CENTRAL STATION,49553,201_merged_579272,562791,
a_43452,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562790,
a_43424,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562793,
a_43453,0,16,0,1,DART CENTRAL STATION,49553,201_merged_579272,562792,
a_43454,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562795,
a_43452,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562794,
a_43424,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562797,
a_43453,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562796,
a_43454,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562799,
a_43452,0,16,0,1,DART CENTRAL STATION,49553,1_merged_579275,562798,
a_43589,0,72,0,1,JORDAN CREEK VIA UNIVERSITY,49692,3_merged_579276,565169,
a_43589,0,72,0,1,JORDAN CREEK VIA UNIVERSITY,49692,3_merged_579276,565168,
b_43908,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,1_merged_579286,569691,
b_43907,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,1_merged_579286,569690,
b_43907,0,15,0,1,#15 6TH AVENUE TO DART CENTRAL STATION,49833,1_merged_579286,569693,
b_44018,0,60,0,0,#60 INGERSOLL/UNIVERSITY,49975,1_merged_579286,571950,
b_44244,0,D-LINE,0,0,#42 STATE CAPITOL,50103,17002,578628,
a_43535,0,7,0,1,DART CENTRAL STATION,49685,1_merged_579275,564863,
a_43617,0,D-LINE,0,0,STATE CAPITOL,49765,2_merged_579277,565543,
b_44245,0,D-LINE,0,0,#42 STATE CAPITOL,50103,17002,578629,
b_43871,0,11,0,1,#11 INGERSOLL AVE TO DART CENTRAL STATION,49793,1_merged_579286,569453,
b_43871,0,11,0,1,#11 INGERSOLL AVE TO DART CENTRAL STATION,49793,1_merged_579286,569452,
b_43871,0,11,0,1,#11 INGERSOLL AVE TO DART CENTRAL STATION,49793,1_merged_579286,569451,
b_43870,0,11,0,1,#11 INGERSOLL AVE TO DART CENTRAL STATION,49793,1_merged_579286,569450,
b_43869,0,10,0,1,#10 EAST UNIVERSITY TO DART CENTRAL STATION,49786,1_merged_579286,569437,
b_43866,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569817,
b_44249,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578951,
b_43962,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570757,
b_43911,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569816,
b_43985,0,50,0,0,#50 EUCLID-DOUGLAS  CROSSTOWN TO MERLE HAY MALL,49938,1_merged_579286,571583,
b_44098,0,52,0,1,#52 JORDAN CREEK TO DART CENTRAL STATION,49942,1_merged_579286,572942,
b_43867,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569815,
b_44020,0,60,0,1,#60 UNIVERSITY/INGERSOLL,49979,1_merged_579286,571967,
b_44247,0,D-LINE,0,0,#42 STATE CAPITOL,50078,1_merged_579286,578865,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571395,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571394,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571397,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571396,
b_43977,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49928,1_merged_579286,571391,
a_43537,0,7,0,1,DART CENTRAL STATION,49685,1_merged_579275,564862,
b_43982,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571393,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571392,
b_43866,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569813,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571399,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571398,
b_43869,0,10,0,1,#10 EAST UNIVERSITY TO DART CENTRAL STATION,49786,1_merged_579286,569436,
b_43911,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569812,
b_43934,0,16,0,0,#16 DOUGLAS AVE TO MERLE HAY,49856,2_merged_579288,570465,
b_43963,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570754,
b_43867,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569811,
b_43911,0,15,0,0,#15 6TH AVENUE TO PARK FAIR MALL,49829,3_merged_579287,569810,
b_44012,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,2_merged_579288,572215,
b_43938,0,16,0,0,#16 DOUGLAS AVE TO MERLE HAY,49856,2_merged_579288,570459,
a_43534,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564821,
a_43518,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564820,
a_43537,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564823,
a_43536,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564822,
a_43518,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564825,
a_43535,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564824,
a_43536,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564827,
a_43534,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564826,
a_43535,0,7,0,0,SOUTHRIDGE MALL VIA COUNTY LINE,49680,1_merged_579275,564829,
a_43537,0,7,0,0,SOUTHRIDGE MALL,49679,1_merged_579275,564828,
a_43377,0,15,0,1,DART CENTRAL STATION,49521,2_merged_579277,562087,
a_43376,0,15,0,1,DART CENTRAL STATION,49521,2_merged_579277,562086,
a_43377,0,15,0,1,DART CENTRAL STATION,49521,2_merged_579277,562081,
a_43376,0,15,0,1,DART CENTRAL STATION,49521,2_merged_579277,562080,
a_43377,0,15,0,1,DART CENTRAL STATION,49521,2_merged_579277,562083,
a_43376,0,15,0,1,DART CENTRAL STATION,49521,2_merged_579277,562082,
a_43373,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561516,
a_43371,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561517,
a_43371,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561514,
a_43373,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561515,
a_43373,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561512,
a_43373,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561513,
a_43373,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561510,
a_43371,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561511,
b_44011,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,2_merged_579288,572214,
a_43373,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561518,
a_43372,0,1,0,0,E 42ND & HUBBELL,49460,1_merged_579275,561519,
b_43963,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570734,
b_43967,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570735,
b_44245,0,D-LINE,0,0,#42 STATE CAPITOL,50103,17002,578593,
b_43966,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570736,
b_43979,0,4,0,1,#4 E 14TH TO DART CENTRAL STATION,49926,1_merged_579286,571390,
b_43966,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570752,
b_43959,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570848,
b_43962,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570737,
b_43959,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570842,
b_43965,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570730,
b_43969,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570840,
b_44250,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578972,
b_43969,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570846,
b_43968,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570847,
b_43968,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570844,
b_43959,0,3,0,0,#3 UNIVERSITY TO VALLEY WEST MALL,49910,3_merged_579287,570845,
a_43390,0,13,0,0,SE PARK AVE,49485,14201_merged_579282,561679,
a_43390,0,13,0,0,SE PARK AVE,49483,1_merged_579275,561678,
b_43965,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49915,1_merged_579286,570732,
b_44007,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572158,
b_43990,0,7,0,1,#7 SW 9TH TO DART CENTRAL STATION,50001,1_merged_579286,572159,
a_43390,0,13,0,0,SE PARK AVE,49485,1_merged_579275,561673,
b_43990,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572157,
b_44008,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572154,
b_44006,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572155,
a_43390,0,13,0,0,SE PARK AVE,49485,1_merged_579275,561677,
a_43477,0,D-LINE,0,0,STATE CAPITOL,49765,2_merged_579277,565536,
a_43390,0,13,0,0,SE PARK AVE,49485,1301_merged_579274,561675,
a_43390,0,13,0,0,SE PARK AVE,49485,8101_merged_579273,561674,
b_43955,0,D-LINE,0,0,#42 STATE CAPITOL,50078,2_merged_579288,572738,
b_44011,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,2_merged_579288,572216,
b_44252,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578973,
b_44080,0,D-LINE,0,0,#42 STATE CAPITOL,50078,2_merged_579288,572739,
a_43427,0,15,0,0,PARK FAIR MALL,49514,3_merged_579276,562108,
a_43510,0,5,0,0,JOHNSTON,49617,1_merged_579275,564016,
b_43963,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570750,
b_43987,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571571,
b_43986,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571570,
b_43987,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571573,
b_43986,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571572,
b_43987,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571575,
b_43986,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571574,
b_43985,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571577,
b_43988,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571576,
b_43985,0,50,0,0,#50 EUCLID-DOUGLAS CROSSTOWN TO MERLE HAY MALL,49937,1_merged_579286,571579,
b_43955,0,D-LINE,0,0,#42 STATE CAPITOL,50078,2_merged_579288,572732,
b_44248,0,D-LINE,0,1,#42 WESTERN GATEWAY,50085,8801,579094,
b_43953,0,5,0,1,#5 FRANKLIN AVE TO DART CENTRAL STATION,49936,2_merged_579288,571529,
b_44080,0,D-LINE,0,0,#42 STATE CAPITOL,50078,2_merged_579288,572733,
b_43925,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50063,1_merged_579286,572596,
b_43990,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572128,
b_43976,0,98,0,1,#98 ANKENY EXPRESS,50069,1_merged_579286,572597,
b_43967,0,3,0,1,#3 UNIVERSITY TO DART CENTRAL STATION,49913,1_merged_579286,570751,
b_43976,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50063,1_merged_579286,572594,
b_44032,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50063,1_merged_579286,572595,
b_43861,0,1,0,0,E 42ND & HUBBELL,49774,1_merged_579286,569299,
b_43925,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50064,1_merged_579286,572592,
b_44245,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578651,
b_43925,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50064,1_merged_579286,572593,
b_44244,0,D-LINE,0,1,#42 WESTERN GATEWAY,50104,17002,578650,
b_43925,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50064,201_merged_579283,572590,
b_44006,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572122,
b_44249,0,D-LINE,0,0,#42 STATE CAPITOL,50079,8801,578919,
b_44076,0,98,0,0,#98 ANKENY EXPRESS TO DMACC ANKENY,50064,1_merged_579286,572591,
b_44007,0,7,0,0,#7 SW 9TH TO SOUTHRIDGE MALL,49996,1_merged_579286,572121,
